Label (Grouping),"Census Tract 901, Suffolk County, Massachusetts!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Margin of Error","Census Tract 902, Suffolk County, Massachusetts!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Margin of Error","Census Tract 907, Suffolk County, Massachusetts!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Margin of Error","Census Tract 909.01, Suffolk County, Massachusetts!!Estimate","Census Tract 909.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 910.01, Suffolk County, Massachusetts!!Estimate","Census Tract 910.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 911, Suffolk County, Massachusetts!!Estimate","Census Tract 911, Suffolk County, Massachusetts!!Margin of Error","Census Tract 912, Suffolk County, Massachusetts!!Estimate","Census Tract 912, Suffolk County, Massachusetts!!Margin of Error","Census Tract 913, Suffolk County, Massachusetts!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Margin of Error","Census Tract 914, Suffolk County, Massachusetts!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Margin of Error","Census Tract 915, Suffolk County, Massachusetts!!Estimate","Census Tract 915, Suffolk County, Massachusetts!!Margin of Error","Census Tract 916, Suffolk County, Massachusetts!!Estimate","Census Tract 916, Suffolk County, Massachusetts!!Margin of Error","Census Tract 917, Suffolk County, Massachusetts!!Estimate","Census Tract 917, Suffolk County, Massachusetts!!Margin of Error","Census Tract 918, Suffolk County, Massachusetts!!Estimate","Census Tract 918, Suffolk County, Massachusetts!!Margin of Error","Census Tract 919, Suffolk County, Massachusetts!!Estimate","Census Tract 919, Suffolk County, Massachusetts!!Margin of Error","Census Tract 920, Suffolk County, Massachusetts!!Estimate","Census Tract 920, Suffolk County, Massachusetts!!Margin of Error","Census Tract 921.01, Suffolk County, Massachusetts!!Estimate","Census Tract 921.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 922, Suffolk County, Massachusetts!!Estimate","Census Tract 922, Suffolk County, Massachusetts!!Margin of Error","Census Tract 923, Suffolk County, Massachusetts!!Estimate","Census Tract 923, Suffolk County, Massachusetts!!Margin of Error","Census Tract 924, Suffolk County, Massachusetts!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1001, Suffolk County, Massachusetts!!Estimate","Census Tract 1001, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1002, Suffolk County, Massachusetts!!Estimate","Census Tract 1002, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1003, Suffolk County, Massachusetts!!Estimate","Census Tract 1003, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1005, Suffolk County, Massachusetts!!Estimate","Census Tract 1005, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1006.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1006.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1006.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1006.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1007, Suffolk County, Massachusetts!!Estimate","Census Tract 1007, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1008, Suffolk County, Massachusetts!!Estimate","Census Tract 1008, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9901.01, Suffolk County, Massachusetts!!Estimate","Census Tract 9901.01, Suffolk County, Massachusetts!!Margin of Error"
        60 or more minutes,382,±188,81,±64,121,±82,38,±32,38,±31,102,±88,126,±74,43,±38,17,±28,175,±108,172,±93,52,±49,217,±110,228,±134,227,±117,205,±134,111,±67,211,±100,537,±170,343,±253,260,±131,198,±103,196,±104,438,±220,28,±35,97,±61,202,±134,0,±95
        Bus or trolley bus:,615,±215,261,±107,160,±84,215,±90,77,±55,141,±77,103,±72,106,±88,241,±125,413,±146,110,±81,441,±193,381,±138,503,±191,397,±177,119,±102,174,±96,369,±159,799,±170,839,±342,426,±167,219,±122,215,±132,245,±179,43,±54,129,±101,211,±95,0,±95
            Less than 10 minutes,11,±15,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,7,±13,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,16,±26,0,±95
            10 to 14 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,12,±21,0,±95,0,±95,48,±76,0,±95,3,±7,0,±95,0,±95,0,±95
            15 to 19 minutes,0,±95,0,±95,0,±95,5,±9,0,±95,0,±95,0,±95,3,±7,23,±31,33,±43,0,±95,0,±95,0,±95,0,±95,20,±33,0,±95,0,±95,18,±28,29,±46,43,±57,34,±43,0,±95,0,±95,0,±95,0,±95,0,±95,20,±33,0,±95
            20 to 24 minutes,83,±84,67,±62,9,±15,0,±95,0,±95,0,±95,48,±57,0,±95,15,±22,104,±60,0,±95,51,±50,18,±31,54,±50,62,±62,0,±95,41,±45,41,±46,0,±95,23,±38,4,±9,0,±95,15,±26,0,±95,0,±95,0,±95,21,±33,0,±95
            25 to 29 minutes,25,±31,0,±95,0,±95,13,±22,9,±17,30,±41,0,±95,11,±16,10,±22,0,±95,39,±52,26,±37,0,±95,0,±95,0,±95,0,±95,0,±95,8,±12,0,±95,27,±39,16,±24,0,±95,0,±95,1,±2,0,±95,12,±21,97,±75,0,±95
            30 to 34 minutes,35,±32,52,±52,60,±59,93,±60,11,±17,44,±46,0,±95,57,±67,41,±47,60,±68,0,±95,154,±103,92,±82,125,±71,206,±119,0,±95,63,±63,119,±107,81,±75,249,±120,84,±76,16,±26,36,±55,69,±61,0,±95,0,±95,0,±95,0,±95
            35 to 44 minutes,19,±27,18,±21,0,±95,0,±95,30,±37,34,±48,43,±46,10,±16,53,±61,0,±95,0,±95,22,±24,32,±41,50,±41,0,±95,81,±84,0,±95,19,±29,0,±95,29,±46,31,±29,0,±95,19,±35,15,±23,17,±26,38,±55,0,±95,0,±95
            45 to 59 minutes,111,±75,46,±66,40,±43,87,±69,27,±28,15,±30,10,±17,7,±12,99,±51,124,±71,20,±32,148,±89,38,±40,102,±70,26,±43,38,±58,6,±9,10,±18,220,±116,146,±104,40,±32,45,±72,0,±95,41,±41,23,±29,79,±49,40,±38,0,±95
            60 or more minutes,331,±186,78,±60,51,±43,17,±21,0,±95,18,±30,2,±7,18,±30,0,±95,85,±75,51,±34,40,±45,201,±104,172,±122,83,±64,0,±95,64,±55,154,±81,469,±163,310,±249,217,±128,158,±96,97,±86,119,±159,0,±95,0,±95,17,±27,0,±95
"        Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:",167,±92,18,±20,697,±204,435,±155,370,±118,807,±190,392,±153,154,±108,88,±82,214,±92,379,±170,215,±103,136,±100,110,±93,553,±193,983,±349,300,±107,213,±128,68,±87,117,±90,90,±53,109,±54,617,±198,751,±274,53,±60,209,±87,573,±192,0,±95
            Less than 10 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,14,±22,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,8,±17,0,±95,0,±95,0,±95,14,±23,0,±95
            10 to 14 minutes,0,±95,0,±95,25,±30,9,±14,0,±95,0,±95,0,±95,21,±33,0,±95,0,±95,0,±95,9,±15,0,±95,0,±95,20,±33,33,±55,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
            15 to 19 minutes,9,±14,0,±95,70,±98,37,±38,11,±18,22,±27,17,±25,0,±95,0,±95,0,±95,12,±22,0,±95,0,±95,0,±95,95,±71,42,±64,33,±56,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
            20 to 24 minutes,8,±13,0,±95,84,±69,18,±29,80,±73,216,±142,8,±16,0,±95,7,±38,12,±19,0,±95,23,±24,0,±95,0,±95,0,±95,109,±106,14,±15,72,±62,0,±95,0,±95,0,±95,0,±95,25,±40,124,±85,0,±95,10,±16,0,±95,0,±95
            25 to 29 minutes,32,±45,0,±95,38,±31,35,±25,34,±33,156,±76,8,±14,10,±18,0,±95,9,±14,95,±105,0,±95,16,±25,0,±95,38,±39,33,±34,7,±11,0,±95,0,±95,43,±45,0,±95,18,±29,35,±51,0,±95,0,±95,0,±95,39,±48,0,±95
            30 to 34 minutes,12,±18,15,±17,335,±161,209,±113,81,±44,239,±136,80,±58,77,±99,7,±14,53,±45,82,±66,72,±40,46,±51,0,±95,95,±60,202,±128,93,±56,13,±20,0,±95,0,±95,0,±95,19,±31,164,±101,63,±81,21,±35,0,±95,56,±48,0,±95
            35 to 44 minutes,22,±35,0,±95,23,±24,45,±48,72,±41,35,±36,67,±63,17,±16,49,±56,32,±37,33,±51,22,±34,0,±95,0,±95,127,±97,144,±176,0,±95,11,±20,0,±95,41,±67,16,±25,16,±25,57,±63,183,±132,5,±10,15,±24,127,±85,0,±95
            45 to 59 minutes,33,±31,0,±95,52,±55,61,±73,54,±50,115,±67,88,±99,4,±9,8,±13,18,±30,36,±36,63,±85,58,±58,54,±61,34,±35,215,±216,106,±65,60,±64,0,±95,0,±95,31,±29,16,±24,229,±141,62,±67,11,±23,87,±61,152,±109,0,±95
            60 or more minutes,51,±46,3,±11,70,±68,21,±26,38,±31,24,±29,124,±73,25,±22,17,±28,90,±66,121,±90,12,±18,16,±27,56,±46,144,±101,205,±134,47,±40,57,±55,68,±87,33,±38,43,±47,40,±31,99,±67,319,±147,16,±27,97,±61,185,±131,0,±95
        Railroad or ferryboat:,13,±20,0,±95,14,±24,0,±95,0,±95,114,±132,0,±95,0,±95,9,±17,0,±95,17,±27,19,±28,0,±95,0,±95,0,±95,61,±60,0,±95,34,±54,0,±95,20,±32,10,±14,0,±95,66,±75,0,±95,30,±31,0,±95,0,±95,0,±95
            Less than 10 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
            10 to 14 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
            15 to 19 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
            20 to 24 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
            25 to 29 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,15,±24,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
            30 to 34 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,34,±50,0,±95,0,±95,0,±95,0,±95,0,±95,9,±13,0,±95,0,±95,0,±95,46,±52,0,±95,0,±95,0,±95,20,±32,0,±95,0,±95,52,±74,0,±95,18,±27,0,±95,0,±95,0,±95
            35 to 44 minutes,0,±95,0,±95,14,±24,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,17,±27,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
            45 to 59 minutes,13,±20,0,±95,0,±95,0,±95,0,±95,20,±33,0,±95,0,±95,9,±17,0,±95,0,±95,10,±15,0,±95,0,±95,0,±95,0,±95,0,±95,34,±54,0,±95,0,±95,10,±14,0,±95,14,±22,0,±95,0,±95,0,±95,0,±95,0,±95
            60 or more minutes,0,±95,0,±95,0,±95,0,±95,0,±95,60,±77,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,12,±22,0,±95,0,±95,0,±95
    Walked:,26,±41,30,±43,80,±68,193,±99,99,±61,81,±66,30,±35,37,±38,77,±64,71,±57,48,±39,49,±50,12,±21,38,±41,43,±44,275,±121,77,±55,16,±17,0,±95,65,±68,0,±95,52,±51,181,±129,40,±38,42,±45,111,±118,178,±114,0,±95
        Less than 10 minutes,0,±95,0,±95,37,±39,49,±46,34,±26,8,±19,7,±12,20,±31,28,±35,43,±47,11,±18,0,±95,0,±95,0,±95,10,±17,113,±76,21,±26,9,±14,0,±95,26,±38,0,±95,0,±95,17,±21,0,±95,0,±95,21,±23,99,±75,0,±95
        10 to 14 minutes,0,±95,0,±95,0,±95,72,±76,20,±23,59,±67,20,±32,17,±17,17,±26,0,±95,24,±37,32,±35,12,±21,16,±25,13,±24,0,±95,56,±56,0,±95,0,±95,39,±59,0,±95,11,±19,77,±79,22,±27,12,±21,60,±72,68,±90,0,±95
        15 to 19 minutes,0,±95,30,±43,24,±38,28,±37,35,±41,0,±95,0,±95,0,±95,0,±95,28,±36,0,±95,17,±28,0,±95,0,±95,0,±95,28,±36,0,±95,7,±12,0,±95,0,±95,0,±95,19,±33,47,±75,0,±95,0,±95,0,±95,0,±95,0,±95
        20 to 24 minutes,0,±95,0,±95,11,±21,44,±53,0,±95,0,±95,3,±6,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,20,±30,105,±105,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,4,±8,0,±95,30,±45,11,±17,0,±95
        25 to 29 minutes,0,±95,0,±95,8,±13,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,2,±5,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,40,±64,0,±95,0,±95,0,±95,0,±95,0,±95
        30 to 34 minutes,26,±41,0,±95,0,±95,0,±95,0,±95,14,±23,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,29,±45,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,14,±23,11,±25,0,±95,0,±95,0,±95
        35 to 44 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,32,±51,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
        45 to 59 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,13,±18,0,±95,0,±95,20,±33,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,22,±37,0,±95,0,±95,19,±31,0,±95,0,±95,0,±95
        60 or more minutes,0,±95,0,±95,0,±95,0,±95,10,±14,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
"    Taxicab, motorcycle, bicycle, or other means:",57,±53,0,±95,88,±72,0,±95,12,±21,42,±46,61,±89,43,±45,25,±26,32,±37,20,±32,5,±8,17,±29,14,±23,102,±151,16,±28,0,±95,0,±95,0,±95,27,±42,0,±95,30,±41,0,±95,0,±95,9,±15,17,±25,15,±24,0,±95
        Less than 10 minutes,0,±95,0,±95,10,±16,0,±95,0,±95,0,±95,0,±95,20,±32,0,±95,0,±95,20,±32,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
        10 to 14 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,5,±15,0,±95,0,±95,0,±95,5,±8,0,±95,14,±23,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,9,±15,0,±95,0,±95,0,±95
        15 to 19 minutes,25,±38,0,±95,34,±41,0,±95,0,±95,11,±23,0,±95,0,±95,10,±16,21,±33,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
        20 to 24 minutes,32,±39,0,±95,0,±95,0,±95,0,±95,17,±27,0,±95,0,±95,0,±95,11,±18,0,±95,0,±95,0,±95,0,±95,8,±15,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
        25 to 29 minutes,0,±95,0,±95,23,±38,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
        30 to 34 minutes,0,±95,0,±95,21,±36,0,±95,12,±21,14,±24,58,±88,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,58,±93,16,±28,0,±95,0,±95,0,±95,27,±42,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,15,±24,0,±95
        35 to 44 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,18,±27,15,±22,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
        45 to 59 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
        60 or more minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,3,±6,0,±95,0,±95,0,±95,0,±95,0,±95,17,±29,0,±95,36,±57,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,30,±41,0,±95,0,±95,0,±95,17,±25,0,±95,0,±95
